name_muni,geo_code,pop,area,mean.bra_viirs_100m_2016,mean.bra_srtm_slope_100m,mean.bra_osm_dst_road_100m_2016,mean.bra_esaccilc_dst200_100m_2015,mean.bra_esaccilc_dst190_100m_2015,mean.bra_esaccilc_dst150_100m_2015,mean.bra_esaccilc_dst140_100m_2015,mean.bra_esaccilc_dst130_100m_2015,mean.bra_esaccilc_dst040_100m_2015,mean.bra_esaccilc_dst011_100m_2015,code_state,code_muni,abbrev_state
Cascavel,2303501,72232,835001281.648227,0.935257613658905,1.42537820339203,3.78154826164246,17.0555610656738,9.42880439758301,19.2595291137695,0.801915109157562,1.09980964660645,0.153724431991577,0.602351307868958,23,3501,CE
Carnaubal,2303402,17685,364804380.574992,0.409278720617294,4.68124008178711,6.59550857543945,4.91468286514282,9.74120426177979,58.1703872680664,2.9144983291626,0.251269400119782,0.204852104187012,0.68120938539505,23,3402,CE
Cariús,2303303,18699,1061802771.18915,0.121924936771393,5.00078821182251,3.32985520362854,92.1302108764649,12.9287672042847,46.1601028442383,1.59661734104157,0.362616628408432,0.178644895553589,0.320615768432617,23,3303,CE
Caririaçu,2303204,26987,623564716.233597,0.299035340547562,7.7006425857544,3.4896605014801,70.8755187988281,9.12057495117188,26.9453525543213,0.745047986507416,0.764077544212341,0.202572852373123,0.144722759723663,23,3204,CE
Cariré,2303105,18459,756874749.251347,0.306563079357147,1.75996422767639,4.34035682678223,13.1701097488403,7.95402717590332,29.9504299163818,5.94526481628418,0.514733254909515,0.0116025889292359,0.547522783279419,23,3105,CE
Caridade,2303006,22782,846508330.277007,0.267521351575851,4.33410453796387,1.79250144958496,63.6891746520996,7.15021753311157,40.8678169250488,7.17659425735474,0.5010626912117,-0.189587399363518,1.34115719795227,23,3006,CE
Capistrano,2302909,17786,222549684.045664,0.423357725143433,6.70781803131104,2.42269611358643,51.8212356567383,6.0120267868042,23.1956596374512,1.23512041568756,1.48263168334961,-0.0548638217151165,0.598760962486267,23,2909,CE
Canindé,2302800,77244,3218478844.18742,0.217530742287636,6.21310663223267,6.27052402496338,69.3955383300781,18.478816986084,59.5538749694824,3.63356328010559,0.715062260627747,-0.230054408311844,1.56024706363678,23,2800,CE
Campos Sales,2302701,27470,1082769247.23946,0.213384389877319,3.94499731063843,4.49181175231934,14.6209211349487,17.4206104278564,60.6918907165527,2.85259199142456,0.0381167605519295,1.23700177669525,0.356381952762604,23,2701,CE
Camocim,2302602,63907,1124773845.5,0.401519626379013,0.999692499637604,5.42464256286621,5.7656946182251,10.7487630844116,8.515944480896,0.637967109680176,1.97165441513062,0.186585277318954,1.21244537830353,23,2602,CE
Brejo Santo,2302503,49842,663427281.342964,0.752687215805054,4.06305599212647,3.88270688056946,33.599853515625,9.14094924926758,54.8777503967285,2.31665563583374,0.573530793190002,0.314985871315002,0.382292985916138,23,2503,CE
Boa Viagem,2302404,54577,2836786282.62698,0.145507797598839,5.40783882141113,6.36668920516968,39.8047294616699,14.0373115539551,56.7816276550293,2.86255168914795,0.360464423894882,0.0831761062145233,0.779958665370941,23,2404,CE
Bela Cruz,2302305,32722,843019327.151815,0.293205112218857,1.00912177562714,3.4460334777832,25.5303020477295,12.1807022094727,24.2535591125488,0.958807408809662,1.55429339408875,-0.0803646594285965,0.528303742408752,23,2305,CE
Beberibe,2302206,53949,1623878157.66848,0.399877846240997,1.29453265666962,4.35780715942383,7.69229173660278,15.9152994155884,21.8288478851318,1.39539396762848,0.934858858585358,0.208235695958138,0.484830498695374,23,2206,CE
Baturité,2302107,35941,308578907.807624,0.63842099905014,8.07057762145996,1.94465911388397,42.2742919921875,6.51578712463379,18.5771198272705,1.0879979133606,2.53657579421997,-0.114618174731731,0.886874556541443,23,2107,CE
Barroquinha,2302057,15044,383405047.767846,0.266578376293182,1.02142691612244,3.06613421440125,6.52020263671875,5.60551261901856,5.13056755065918,2.36887311935425,1.37030422687531,-0.0593484938144684,0.933999419212341,23,2057,CE
Barro,2302008,22758,711886681.065126,0.203560456633568,4.41978693008423,4.7443265914917,29.3649635314941,10.096378326416,41.5713310241699,4.34332895278931,0.549139440059662,-0.0726278051733971,0.417323380708694,23,2008,CE
